Unnamed: 0,Vmag,Plx,e_Plx,B-V,SpType,StarType
371,7.46,4.15,0.66,1.072,K0/K1III,Giant
372,8.72,1.39,1.34,1.508,K2,Unknown
373,7.02,6.13,1.59,1.1,K0,Unknown
374,9.08,6.13,1.59,0.612,Unknown,Unknown
375,8.37,4.04,1.18,0.881,K0,Unknown
376,5.59,5.7,0.53,-0.1,B8III,Giant
377,7.37,11.46,0.84,0.422,F5IV,Giant
378,5.68,10.3,0.58,1.051,K1III,Giant
379,8.56,7.35,1.12,0.792,G5,Unknown
380,8.72,2.46,1.14,-0.014,A2,Unknown
381,9.06,4.16,1.2,0.368,F0V,Dwarf
382,8.82,4.08,1.2,0.433,F0,Unknown
383,8.18,5.84,1.2,0.376,A5,Unknown
384,9.39,9.37,2.81,0.735,G5,Unknown
385,9.1,-0.59,1.02,0.652,B2,Unknown
386,8.46,1.61,0.92,0.556,F2,Unknown
387,9.15,5.46,1.38,0.394,A3,Unknown
388,8.28,5.65,1.16,0.002,A0IV,Giant
389,11.67,4.86,2.61,0.612,F7,Unknown
390,8.18,6.95,1.91,0.43,G0,Unknown
391,7.93,10.47,1.53,0.478,F5,Unknown
392,9.21,3.05,1.34,0.964,K0,Unknown
393,6.09,27.18,4.3,0.632,G2V,Dwarf
394,8.31,3.15,1.1,0.036,A0IV/V,Giant
395,7.83,2.91,0.97,1.256,K2III,Giant
396,8.72,3.73,1.1,0.082,A0,Unknown
397,6.61,2.13,0.82,0.025,B3V,Dwarf
398,6.25,5.34,0.77,1.368,K4IIIb,Giant
399,7.82,39.06,0.93,0.755,G9V,Dwarf
400,8.66,3.49,1.2,1.614,K5,Unknown
401,8.15,6.02,0.81,0.475,F5,Unknown
402,8.97,11.56,1.31,0.674,G3V,Dwarf
403,8.15,1.55,1.04,1.201,K2,Unknown
404,7.47,14.53,1.21,0.55,F8V,Dwarf
405,8.63,1.67,1.1,1.57,M0,Unknown
406,8.13,22.09,0.71,0.71,G5V,Dwarf
407,8.23,4.41,1.1,0.986,G9III,Giant
408,8.41,8.49,0.77,0.461,F5V,Dwarf
409,6.47,7.63,0.76,0.946,G8II,Giant
410,9.83,-0.99,1.46,1.54,K5,Unknown
411,8.64,6.19,1.54,1.3,F5,Unknown
412,7.73,19.78,0.87,0.537,G0V,Dwarf
413,8.64,1.96,0.95,0.889,G6III,Giant
414,8.94,8.38,1.24,0.415,F2,Unknown
415,8.84,8.73,1.17,0.759,G5,Unknown
416,6.32,6.95,0.81,1.099,G9III:,Giant
417,5.8,4.5,0.56,-0.067,B8MNp...,Unknown
418,8.97,5.12,1.34,0.86,G8/K0V,Dwarf
419,7.53,23.9,0.85,0.577,G0V,Dwarf
420,8.83,4.63,1.1,0.612,Unknown,Unknown
421,7.41,2.53,0.69,1.288,K0,Unknown
422,7.8,5.43,1.9,0.437,F0,Unknown
423,8.14,14.25,0.83,0.593,G0V,Dwarf
424,6.71,6.66,0.75,0.068,A1Vn,Dwarf
425,8.73,1.42,1.2,1.124,K1III,Giant
426,9.37,6.64,8.01,0.51,F0,Unknown
427,8.69,11.12,1.22,0.644,G5,Unknown
428,9.95,86.98,1.41,1.472,M2,Unknown
429,7.1,6.27,0.87,1.128,K1III,Giant
430,8.09,2.45,0.9,0.496,F5,Unknown
431,6.88,10.35,0.81,0.174,A2,Unknown
432,9.48,-0.08,1.69,1.037,K2,Unknown
433,9.04,1.4,1.32,0.692,F2V,Dwarf
434,9.3,10.28,1.33,0.538,F3/F5V,Dwarf
435,8.49,62.48,0.82,1.076,K5V,Dwarf
436,8.3,3.18,1.04,0.998,G5,Unknown
437,7.95,2.21,1.04,0.991,G5,Unknown
438,7.08,5.31,0.63,-0.006,B9,Unknown
439,6.93,4.29,0.83,0.94,G8III/IV,Giant
440,8.38,4.33,1.15,-0.06,B9V,Dwarf
441,4.61,25.38,1.05,1.029,K1III,Giant
442,8.56,229.33,1.08,1.462,M2V,Dwarf
443,8.78,1.29,1.02,1.156,K2III,Giant
444,7.42,9.55,0.76,0.191,A1Vs,Dwarf
445,8.26,1.69,1.27,1.052,G4V:p,Dwarf
446,7.71,5.05,0.64,1.093,K0III,Giant
447,6.91,6.75,1.03,1.12,G5,Unknown
448,9.16,9.89,1.18,0.782,G8IV,Giant
449,8.99,3.3,1.34,1.199,K7,Unknown
450,8.63,4.55,0.99,0.46,G0,Unknown
451,9.9,2.61,1.46,0.599,F8,Unknown
452,7.59,4.65,0.92,1.045,K0,Unknown
453,7.39,4.76,0.99,0.99,K0III,Giant
454,11.99,6.35,13.02,0.612,Unknown,Unknown
455,7.78,4.79,0.99,1.123,K0III,Giant
456,7.47,2.01,0.96,1.62,M3III,Giant
457,6.97,3.07,0.93,1.444,K5,Unknown
458,8.82,18.57,0.95,0.666,G5V,Dwarf
459,9.13,22.2,1.14,0.735,G5,Unknown
460,7.86,11.04,0.91,0.494,F8,Unknown
461,7.13,19.81,0.94,0.446,F5,Unknown
462,9.45,-1.03,1.35,0.995,G8III/IV,Giant
463,12.04,0.75,22.3,0.501,A0,Unknown
464,8.78,3.94,1.45,1.249,K2,Unknown
465,7.23,3.52,0.83,1.174,K0,Unknown
466,9.73,6.89,1.46,0.725,G5V,Dwarf
467,7.36,4.25,0.72,0.993,K0III,Giant
468,7.36,2.3,0.82,1.444,K3/K4III,Giant
469,8.47,0.47,0.94,-0.18,B1.5IV,Giant
470,9.37,2.52,1.1,1.537,K5,Unknown
471,6.99,4.25,0.78,1.187,K0III,Giant
472,8.2,85.1,2.74,1.41,K2,Unknown
473,8.36,7.0,1.01,0.247,A0,Unknown
474,8.22,21.03,1.06,0.636,G0,Unknown
475,5.55,8.75,0.8,0.901,G5III,Giant
476,9.91,5.59,1.7,0.353,A9/F0V,Dwarf
477,9.67,2.19,1.68,0.524,F3/F5V,Dwarf
478,8.6,1.87,1.29,1.1,K1III,Giant
479,10.07,1.32,1.52,0.923,G5,Unknown
480,10.15,7.28,1.45,0.677,G5,Unknown
481,7.75,5.95,1.68,0.414,F2+...,Unknown
482,9.21,4.01,0.94,0.097,A0,Unknown
483,9.66,-0.26,1.41,0.787,G5V,Dwarf
484,8.47,2.62,1.01,0.045,A0,Unknown
485,9.37,6.18,1.34,0.507,F6V,Dwarf
486,9.44,11.21,1.34,0.617,G0,Unknown
487,9.99,7.92,1.61,0.646,G5/G6V,Dwarf
488,10.38,13.23,1.74,0.782,Unknown,Unknown
489,7.51,24.85,0.92,0.595,G0V,Dwarf
490,8.91,2.92,1.19,1.19,K0,Unknown
491,7.45,26.24,0.82,0.596,F8,Unknown
492,9.57,6.5,1.46,0.51,G0,Unknown
493,8.99,12.99,0.94,0.585,F8V,Dwarf
494,8.58,25.77,2.07,0.92,K0...,Unknown
495,6.9,5.31,0.73,1.564,K5,Unknown
496,7.55,7.05,1.15,0.3,A3,Unknown
497,7.93,4.26,0.91,0.239,A3,Unknown
498,9.71,0.87,1.53,0.915,G8IV/V,Giant
499,9.57,1.54,1.37,1.812,M1/M2,Unknown
500,8.55,4.19,1.14,1.357,K3III,Giant
501,6.62,2.9,0.77,1.531,K5III,Giant
502,7.89,3.07,1.01,0.93,G5,Unknown
503,7.51,5.66,0.82,1.112,K1III-IV,Giant
504,7.36,0.08,0.65,0.126,O6pe,Unknown
505,8.66,1.33,1.08,-0.039,A2,Unknown
506,8.51,1.8,0.83,1.576,K3III,Giant
507,6.65,3.28,0.85,0.912,G5,Unknown
508,9.67,13.05,1.67,0.633,G3V,Dwarf
509,7.8,11.07,1.0,0.501,F5,Unknown
510,8.21,5.34,1.01,1.108,G5,Unknown
511,7.9,4.39,0.96,-0.03,B9V,Dwarf
512,8.94,2.09,1.2,1.0,K0,Unknown
513,9.82,5.66,1.65,0.418,F2V,Dwarf
